,recipeName,ingredients,instructions,supplementary_ingredients,supplementary_instructions
32,Wali wa Kuchemshwa (Boiled Rice) ," 5 2/3 cups (1 kg) raw white rice 3 tsp. (15 g) salt, iodized ¼ cup (50 g) cooking oil 9 cups (1954 g) water ","‖ Serves 4 • Sort and wash the rice. • In a cooking pot, boil all the water for 2 minutes. • Add salt and rice. Stir and boil for 10 more min- utes. • Reduce the heat and cover to simmer for 16 minutes. • Add cooking oil to the rice and stir. • Cover the rice and allow to simmer until it is ready. • Cover with aluminium foil. • Remove from the heat when ready and serve. Energy 584 kJ/ 138 kcal │| Fat 2.0 g │| Carbohydrates 27.2 g │| Protein 2.7 g |│ Fibre 0.2 g │ Vitamin A 0 mcg │| Iron 0.3 mg │| Zinc 0.46 mg Nutrition data per 100g of recipe: 69 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15074 ",,
33,Wali wa Yasmin (Onion Fried Rice) ,"5 cups (898 g) raw white rice 4 onions, red skinned, raw, unpeeled (335g) 2/3 cup (134 g) cooking oil 3 tsp. (15 g) salt, iodized 7 ½ cups (1622 g) water ","Serves 4 • Wash the rice and soak in 2 cups of water for 30 minutes. Drain and discard the water. • Peel, wash and chop the onions and fry them in a separate pan until golden brown. • Boil 5 ½ cups of water in a pot. • Add salt and the rice into the boiling water. Cover to cook for 10 minutes. • Add onions with the oil with which it was fried in to the rice. • Cover with aluminium foil and simmer for 11 minutes. • Remove from fire. Energy 779 kJ/ 185 kcal |│ Fat 5.1 g |│ Carbohydrates 31.2 g |│ Protein 3.2 g │| Fibre 0.6 g │ Vitamin A 0 mcg |│ Iron 0.5 mg │| Zinc 0.53 mg Nutrition data per 100g of recipe: 71 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15075 ",,
34,Mseto wa Viazi (Potatoes in rice) ,"5 potatoes, unpeeled, Irish, white, raw (468 g) 3 carrots, orange, raw (379 g) 2 onions, red skinned, raw, unpeeled (205 g) 3 tomatoes, red, ripe (240 g) 6 tbsp. (63 g) cooking fat 5 cups (882 g) raw white rice 11 1/3 cups (2412 g) water 2 tsp. (9 g) salt, iodized ","Serves 4 • Peel, wash and cut the potatoes into cubes. • Peel, wash and chop the onions; wash and cut the tomatoes. • Peel, wash and grate the carrots. • Heat the oil in a cooking pot, add the onions and cook until golden brown. • Add tomatoes, salt and stir; cook until tender. • Add potatoes and stir. Add 1 1/3 cups of water; bring it to a boil. • Add the grated carrots after 6 minutes. • Add rest of water (10 cups), stir and bring the mixture to a boil. • Wash the rice and set aside. • Add the rice to the boiling mixture and stir. • Leave the mixture to boil until all the water dries up. Energy 469 kJ/ 111 kcal │| Fat 1.9 g │| Carbohydrates 21.1 g |│ Protein 2.2 g │| Fibre 0.5 g │ Vitamin A 2 mcg |│ Iron 0.4 mg |│ Zinc 0.38 mg Nutrition data per 100g of recipe: 73 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15094 ",,
35,Steamed Rice (Wali wa Mvuke) ,"1 cup (193 g) raw white rice 4 2/3 cups (1015 g) water 2 tsp. (9 g) salt, iodized ","• Sort and soak the rice in 2 cups of water for 30 minutes. • Drain and discard the water. • Put the soaked rice into a cooking pot, add the rest of the water (2 2/3 cups) and salt. • Bring to a boil and cook for 20 minutes. • Drain the water when the rice is semi-cooked. • Steam for 10 minutes on low heat. • Remove from heat and serve. Energy 513 kJ/ 121 kcal │| Fat 0.3 g │| Carbohydrates 26.7 g |│ Protein 2.6 g │| Fibre 0.2 g │ Vitamin A 0 mcg |│ Iron 0.3 mg│| Zinc 0.45 mg Nutrition data per 100g of recipe: 75 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15129 ",,
36,Mcheleng (Rice with milk) ,"2 ¾ cups (500 g) raw white rice 2 ¼ cups (488 g) water 2 ¼ cups (541 g) milk, cow 1 ¼ cups (284 g) milk cream, cow 1 tbsp. (14 g) salt, iodized ","• Put milk, all the water and cream into a cooking pot. • Add salt and bring the mixture to a boil. • Add rice and cook for 20 minutes or until all the liquid dries up. • Remove from heat and cover. • Serve while hot. Energy 74 kJ/ 176 kcal |│ Fat 5.7 g │| Carbohydrates 27.2 g │| Protein 3.9 g │| Fibre 0.2 g │ Vitamin A 44 mcg |│ Iron 0.4 mg │| Zinc 0.64 mg Nutrition data per 100g of recipe: 77 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15116 ",,
37,79 ,,,,
38,"Mukimo (Fresh Maize, Potatoes & Pumpkin Leaves) ","6 potatoes, unpeeled, Irish, raw (876g) 4 bunches (31 g) pumpkin leaves 2 ½ cups (479 g) green maize, white, boiled 2 cups (453 g) water 2 ½ tsp. (12 g) salt, iodized ","utes | Serves 4 • Peel the potatoes and wash. • Wash the pumpkin leaves and chop finely. • Put 2 cups of water into a pot. Add the potatoes, pumpkin leaves and salt. • Cover the pot and boil the mixture for 20 minutes. • Add the boiled maize and cover to cook for 10 minutes. • Remove from fire and mash to serve. Energy 457 kJ/ 109 kcal │| Fat 1.0 g |│ Carbohydrates 18.5 g │| Protein 3 g │| Fibre 6.8 g │ Vitamin A 14 mcg |│ Iron 1.6 mg │| Zinc 0.93 mg Nutrition data per 100g of recipe: 81 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15057 ",,
39,"Mukimo (Maize, Beans, Potatoes & Pumpkin Leaves) ","10 potatoes, unpeeled, Irish, white (1386 g) 9 stalks (81 g) pumpkin leaves, raw 7 ½ cups (1182 g) white maize and kidney beans, cooked 4 2/3 cups (999 g) water 2 ½ tsp. (13 g) salt, iodized ","Serves 4 • Peel, wash and cut the potatoes. • Cut the pumpkin leaves. • Meanwhile, measure 7 ½ cups of previously boiled maize and beans mixture (the ratio of maize to beans is 1:2). • Put all the water into the empty cooking ves- sel. Add potatoes and salt. • Boil the potatoes for 20 minutes and add the cut pumpkin leaves. Cover the pot and cook for 2 minutes. • Add the cooked maize-bean mixture and cov- er to cook for 20 minutes. • Remove from heat and mash the mixture. • Serve while hot. Energy 498 kJ/ 118 kcal │| Fat 0.7 g │| Carbohydrates 20.5 g │| Protein 5 g │| Fibre 4.8 g │ Vitamin A 4 mcg │| Iron 2.0 mg │| Zinc 0.74 mg Nutrition data per 100g of recipe: 83 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15054 ",,
40,"Mukimo wa Njahi (Black Beans, Green Bananas & Potatoes) ","6 (1.2 kg) potatoes, unpeeled, Irish, raw 6 green bananas, unpeeled, raw (1 kg) 2 ½ cups (497 g) njahi, dolichos lablab, raw, dry 25 ¾ cups (5611 g) water 4 tsp. (20 g) salt, iodized ","• Boil 2 ½ cups of njahi (dolichos lablab) in 21 cups of water for 3 hours. • Peel and wash the potatoes and green bananas in sep- arate bowls, chop them. • Put the rest of the water into a separate cooking pot. • Add the chopped potatoes, green bananas and salt. • Boil for 10 minutes. • Add the cooked black beans, cover and cook for 20 minutes. • Remove from fire and mash. Energy 693 kJ/ 164 kcal │| Fat 0.6 g |│ Carbohydrates 26.5 g |│ Protein 9.5 g │| Fibre 7.2 g │ Vitamin A 0 mcg |│ Iron 3.2 mg │| Zinc 1.06 mg Nutrition data per 100g of recipe: 85 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15059 ",,
41,Mukimo wa Njahi (Raw & Ripe Bananas) ,"5 1/8 cups (1 kg) njahi dolichos lablab, black beans, raw, dry 21 large (3 kg) raw, unpeeled bananas 12 large (1.2 kg) ripe, unpeeled bananas 5 tsp. (21 g) salt, iodized 28 ¾ cups (6037 g) water • ","utes | Serves 8 • Sort the black beans, wash and cook in 23 cups of water for 4 hours or until ready or soft. • Mash the black beans until smooth. • Meanwhile, peel the ripe bananas and set aside. • Boil the green bananas in 2 ½ cups of water until they are soft. • Once ready, add the peeled ripe bananas. Add the rest of the water and salt into the mixture. Let the water come to a boil. Add this mixture into the mashed black beans. • Mash until soft and serve while hot. Energy 636 kJ/ 151 kcal │| Fat 0.6 g │| Carbohydrates 26.6 g |│ Protein 6.4 g │| Fibre 6.5 g │ Vitamin A 1 mcg |│ Iron 2.2 mg |│ Zinc 0.79 mg Nutrition data per 100g of recipe: 87 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15062 ",,
42,Mashed Potato and Bananas ,"14 large potatoes, unpeeled, white, Irish, raw (2 kg) 7 bananas, raw, unpeeled (1.2 kg) 1 onion, red skinned, raw, unpeeled (134 g) 3 tomatoes, red, raw (321 g) 1 ¼ cups (186 g) cooking fat 2 tbsp. (35 g) salt, iodized 3 1/3 cups (734 g) water ","• Peel, wash the potatoes and bananas into separate bowls. • Peel, wash and chop the onion. Wash and cut the tomatoes. • Heat the cooking fat in a pan. Add the onion into the pan and cook until golden brown. • Add tomatoes and stir until the tomatoes are cooked or tender • Cut the potatoes and bananas and add into the cooking pot. • Add salt, cover and keep stirring at intervals. • Add all the water and bring to a boil. • Cook until the potatoes and the green bananas are tender. • Mash to a smooth consistency and serve while food hot. Energy 750 kJ/ 179 kcal │| Fat 8.5 g │| Carbohydrates 22.1 g │| Protein 2.3 g │| Fibre 2.6 g │ Vitamin A 4 mcg |│ Iron 1.4 mg |│ Zinc 0.36 mg Nutrition data per 100g of recipe: 89 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15061 ",,
43,Mushenye (Green Maize and Sweet Potatoes) ,"3 ¾ cups (757 g) beans, kidney, dry 2 cobs (917 g) green maize, with husks 4 sweet potatoes, unpeeled, pink skin, raw (1.6 kg) 4 tsp. (20 g) salt, iodized 1 1/3 cups (323 g) peanut butter 30 cups (6501 g) water • ","utes | Serves 4 • Boil beans for 2 hours in 21 cups of water. • Remove husks and shell the maize grains into a bowl. • Add the green maize and 4 cups of water to the cooked beans. Let the maize boil until it is cooked for about 1 hour. • Meanwhile peel and wash the sweet potatoes. • Add sweet potatoes, peanut butter, salt and the rest of the water. • Cook the sweet potatoes in the maize-bean mix- ture for 1 hour 15 minutes. • Once cooked, mash, remove from heat and serve. Energy 641 kJ/ 153 kcal │| Fat 4.1 g |│ Carbohydrates 17.6 g │| Protein 7.1 g │| Fibre 8.6 g │ Vitamin A 1 mcg |│ Iron 2.3 mg |│ Zinc 1.07 mg Nutrition data per 100g of recipe: 91 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15069 ",,
44,Wukunu (Sweet Potatoes & Dehulled Black Beans) ,"2¼ cups (384 g) black beans, dolichos lablab, raw, dry 7 sweet potatoes, unpeeled, pink skin, raw (1.8 kg) 13½ cups (2946 g) water 2 tsp. (11 g) salt, iodized ","utes | Serves 4 • Sort the black beans and wash. • Boil the beans in 9 cups of water for 1 hour 20 min- utes (or until almost cooked). • While the beans boil, peel the sweet potatoes and set aside covered with water. • Remove the boiled beans from fire and set aside to cool. • Once cool enough to handle, shell the beans (remove the outer skin)/ you can also blanch after cooling the beans to make shelling easier. • Put the shelled black beans into a pot, add 4 ½ cups of water and boil for 4 minutes. • Add the peeled sweet potatoes, salt and boil for 50 minutes or until the sweet potatoes are tender • Remove from fire and mash to a smooth consisten- cy. • Serve. Energy 396 kJ/ 94 kcal │| Fat 0.6 g |│ Carbohydrates 15.8 g │| Protein 4.1 g │| Fibre 4.6 g │ Vitamin A 1 mcg |│ Iron 1.5 mg |│ Zinc 0.41 mg Nutrition data per 100g of recipe: 93 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15068 ",,
45,Kimanga cha Ndizi (Smoked Green Bananas and Kidney Beans) ,"1 ¾ cups (310 g) beans, kidney, dry 13 green bananas, peeled smoked (169g) 2 ½ tsp. (12 g) salt, iodized 19 ¼ (4180 g) water ","ing a charcoal stove) | Cooking 2 hours 20 minutes | Serves 4 • Boil beans in all the water until they are ready. • Without draining the water used to cook the beans, add the smoked bananas, cover and cook for 10 minutes. • Add salt and stir. Cook until the bananas are soft. • Remove and mash. • Serve while hot. Energy 614 kJ/ 146 kcal │| Fat 0.9 g │| Carbohydrates 24.1 g |│ Protein 6.5 g │| Fibre 7.7 g │ Vitamin A 2 mg |│ Iron 1.6 mg |│ Zinc 0.85 mg Nutrition data per 100g of recipe: 95 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code w ",,
46,Kimanga cha Mihogo (Mashed Cassava and Pigeon Peas) ,"1 ½ (1.3 kg) cassava, unpeeled, raw 3 cups (541 g) pigeon peas, dry, raw 4 tsp. (20 g) salt, iodized  21 1/3 cups (4641 g) water ","Serves 4 • Sort the pigeon peas and wash. • Boil 9 1/3 cups of water in a pot and add the pigeon peas. Boil the peas until soft or ready. • Meanwhile as the pigeon peas boil, peel and cut the cassava into a separate bowl with water. • Add 12 cups of water to the boiled peas and add the cut cassava, and cover. • Boil for 15-20 minutes and add salt. • Cover and cook until the cassava is tender and ready. • Turn off the heat and mash. • Serve hot. Energy 823 kJ/ 194 kcal |│ Fat 0.6 g |│ Carbohydrates 39.6 g |│ Protein 4.8 g │| Fibre 5.8 g │ Vitamin A 4 mg |│ Iron 1.6 mg │| Zinc 0.85 mg Nutrition data per 100g of recipe: 97 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15084 ",,
47,Mashed Potatoes ,"7 potatoes, unpeeled, white, Irish, raw (1.25 kg) 2 ¾ cups (625 g) water  ½ tbsp. (7 g) salt, iodized ","Serves 4 • Peel the potatoes and clean them. • Put them in a cooking pot, add salt and cover with all the water. • Bring to a boil and cook until the potatoes are ready and tender. • Drain any excess water. • Mash the potatoes to a smooth consistency and serve warm. Energy 449 kJ/ 106 kcal |│ Fat 0.2 g | Carbohydrates 22.8 g │| Protein 2.5 g |│ Fibre 1.7 g │ Vitamin A 0 mcg |│ Iron 1.4 mg |│ Zinc 0.32 mg Nutrition data per 100g of recipe: 99 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15103 ",,
48,Mashed Bananas Plain ,"• • • 9 unpeeled bananas, green, raw (1 kg) 2 1/8 cups (465 g) water 1 tsp. (5 g) salt, iodized ","Peel the bananas and clean them. Put in a cooking pot, add all the water and salt. Bring them to boil until the bananas are tender. Mash and serve warm. Energy 344 kJ/ 81 kcal │| Fat 0.3 g |│ Carbohydrates 16.9 g |│ Protein 1.2 g │| Fibre 3.0 g │ Vitamin A 0 mcg |│ Iron 0.6 mg │| Zinc 0.19 mg Nutrition data per 100g of recipe: 101 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15104 ",,
49,Enriched Mashed Potatoes ,"7 potatoes, unpeeled, white, Irish, raw (1 kg) 4 2/3 cups (1007 g) water  ½ tsp. (3 g) salt, iodized  6 tbsp. (76 g) margarine ","Serves 4 • Peel the potatoes, wash and put into a pot. • Add all the water and bring to a boil. • Add salt and cook until the potatoes are tender and most water has evaporated. Leave a little water to help in mashing. • Add margarine. • Mash the potatoes into a smooth consistency. • Remove from heat and serve warm. Energy 591 kJ/ 141 kcal |│ Fat 6.2 g │| Carbohydrates 18.6 g │| Protein 2 g │| Fibre 1.4 g │ Vitamin A 51 mcg │| Iron 1.1 mg |│ Zinc 0.26 mg Nutrition data per 100g of recipe: 103 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15105 ",,
50,Enriched Mashed Bananas ,"14 green bananas, raw, unpeeled (1.2 kg) 3 ¼ cups (702 g) water ¾ tsp. (4 g) salt, iodized 8 ½ tbsp. (113 g) margarine ","Serves 4 • Peel the bananas, wash and put in a cooking pot. • Add all the water and salt. • Boil until the bananas are tender. • Add margarine. • Mash the bananas into a smooth consistency and serve warm. Energy 568 kJ/ 136 kcal |│ Fat 7.8 g |│ Carbohydrates 14.3 g |│ Protein 1 g |│ Fibre 2.6 g │ Vitamin A 63 mcg |│ Iron 0.5 mg │| Zinc 0.16 mg Nutrition data per 100g of recipe: 105 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15106 ",,
51,Kimito (Mashed Beans & Potatoes) ,"10 potatoes, unpeeled, Irish, white, raw (1.9 kg) 3 cups (515 g) beans, kidney, raw, dry 4 tsp. (21 g) salt, iodized ½ tbsp. (7 g) cooking oil 36 1/3 cups (7898 g) water ","• Sort and wash the kidney beans. • Put beans and 23 cups of water into a pot. Turn on the heat and boil until the beans are soft and ready; about 2 hours 30 minutes. • Meanwhile, peel and wash the potatoes. • Remove the boiled beans and transfer to a bowl. • Put potatoes into a pot and spread the beans on top. • Add the rest of the water and salt. Cover and cook for 50 minutes or until the potatoes are soft and tender. • Drain the excess water if necessary. • Add the cooking oil and mash the content to a smooth consistency. • Serve while hot. Energy 537 kJ/ 127 kcal │| Fat 0.8 g │| Carbohydrates 21.6 g │| Protein 5.7 g │| Fibre 5.4 g │ Vitamin A 0 mcg |│ Iron 2.2 mg |│ Zinc 0.77 mg Nutrition data per 100g of recipe: 107 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15111 ",,
52,Kimanga cha Viazi Vitamu (Mashed Sweet Potato & Black Beans) ,"4 brown skin sweet potatoes, unpeeled, raw (1 kg) 2 cups (365 g) dolichos beans, black 2 tsp. (11 g) salt, iodized 28 ¾ cups (6239 g) water • ","• Sort the black beans and wash. • Put the washed black beans into the cooking pot and boil in 18 cups of water for 2 hours or until soft. In the meantime, peel and cut the sweet potatoes and put them in water. • Add the peeled sweet potatoes, the rest of the wa- ter and salt onto the boiled black beans, cover and boil until the sweet potatoes are properly cooked or soft. • Turn off the heat and mash. • Serve hot. Energy 472 kJ/ 112 kcal │| Fat 0.5 g │| Carbohydrates 18.9 g |│ Protein 5.4 g |│ Fibre 5.2 g │ Vitamin A 4 mcg │| Iron 1.6 mg │| Zinc 0.63 mg Nutrition data per 100g of recipe: 109 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15090 ",,
53,Enriched Matoke ,"9 green bananas, unpeeled, raw, un- peeled (1.5 kg) ¼ cup (68 g) peanut butter 1 tsp. (5 g) salt, iodized 4 ½ cups (968 g) water ","• Peel and wash the bananas. • Put the washed bananas into a pot, add salt and all the water, and bring to a boil. • Cook until the bananas are ready and tender. • Remove from heat; add the peanut butter and mash. • Serve while hot. Energy 465 kJ/ 111 kcal |│ Fat 3.5 g |│ Carbohydrates 15.8 g │| Protein 2.4 g │| Fibre 3.2 g │ Vitamin A 0 mcg |│ Iron 0.9 mg │| Zinc 0.32 mg Nutrition data per 100g of recipe: 111 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15121 ",,
54,Nyenyi (Mashed Pigeon Peas & Green Maize) ,"2 ½ cups (474 g) pigeon peas, dry, raw 6 potatoes, unpeeled, Irish, white (1.6 kg) 200 g pumpkin leaves, raw 3 maize cobs with kernels (750 g) 4 tsp. (20 g) salt, iodized 1/3 cup (61 g) margarine 30 cups (6472 g) water ","• Sort and wash the pigeon peas. Put into a pot with 23 cups of water and cover. • Boil to cook for 2 hours. • Expose the maize kernels by pulling back the husks and carefully remove the silk. • Remove kernels from the cobs by hand in rows or use a corn zipper. • Wash the maize and add to the boiling pigeon peas. Continue boiling until both are tender and ready. • Remove from heat, drain any remaining water and put into a bowl. • Meanwhile, prepare and cut the potatoes. • Remove the pumpkin stalks, wash and cut the pumpkin leaves and hand blend with salt. • Put the cut potatoes, salted pumpkin leaves, followed by the boiled pigeon peas-maize mixture into a cooking pot. • Add the rest of the water, cover and cook until the potatoes are ready and soft. • Add margarine, remove from heat and mash • Serve while hot. Energy 524 kJ/ 125 kcal │| Fat 2.3 g │| Carbohydrates 17.8 g |│ Protein 4.9 g │| Fibre 6.5 g │ Vitamin A 23 mcg │| Iron 1.8 mg |│ Zinc 0.89 mg Nutrition data per 100g of recipe: 113 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15118 ",,
55,115 ,,,,
56,Ashir ,"8 ½ cups (1536 g) pounded maize, white, de-germed 13/4 cups (414 g) cow milk 6 ½ tbsp. (88 g) sugar  1 ½ tsp. (12 g) salt, iodized 29 2/3 cups (6430 g) water ","utes ‖ Serves 4 • Sort and wash the pounded maize. • Put all the water in the cooking pot and add the pounded maize. • Put it on heat and boil. • Boil for 2 hours, remove from heat and strain ex- cess water. • After draining water put back on the heat, add salt, sugar, milk and stir. • Simmer for 10 minutes and serve. Energy 529 kJ/ 125 kcal |│ Fat 0.9 g │| Carbohydrates 25.8 g │| Protein 2.7 g |│ Fibre 1.2 g │ Vitamin A 5 mcg |│ Iron 0.2 mg │| Zinc 0.21 mg Nutrition data per 100g of recipe: 117 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15049 ",,
57,Githeri (Fresh Beans and Maize) ,"4 green maize cobs with kernels, (2 kgs) 2.5 kg bean pods, red 9 ¼ cups (2005 g) water 1 stem (140 g) spring onion, unpeeled 1 ¼ cups (187 g) cooking fat 5 ½ tsp. (28 g) salt, iodized ","• Remove fresh beans from pods. Put in a bowl or container. • Remove maize cobs with kernels from the husks. • Remove maize kernels from the cobs by hand. • Mix and wash the maize and beans. • Boil in 9 ¼ cups of water for 2 hours until cooked. • Prepare the onions and chop into a separate bowl. • Stewing: • Heat cooking fat into a pan and add the spring onions. • Cook the spring onions until they soften. • Add the boiled maize-beans mixture. Cover with a pan. • Add salt and continue cooking while stirring period- ically. • Once ready, remove from fire and serve. Energy 751 kJ/ 180 kcal │| Fat 7.6 g │| Carbohydrates 15.1 g │| Protein 7.8 g |│ Fibre 10.4 g │ Vitamin A 6 mcg |│ Iron 1.7 mg |│ Zinc 1.21 mg Nutrition data per 100g of recipe: 119 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15060 ",,
58,Githeri (Stewed Maize & Beans) ,"11 cups (1730 g) maize and beans, dry, boiled 1 onion, red skinned, raw, unpeeled (132 g) 1/3 cup (69 g) cooking oil 3 tsp. (14 g) salt, iodized 13/4 cups (389 g) water ","Serves 4 • Measure 11 cups of previously boiled maize and beans mixture (the ratio of maize to beans is 1:2). • Prepare, wash and chop the onion. • Pour oil in a cooking pot over fire, add onions and cook for 2 minutes and add salt. • Add the boiled maize-bean mixture. • Stir and add 1 3/4 cups water. • Cover and let the mixture to cook for 10 minutes. • Serve while hot. Energy 661 kJ/ 157 kcal |│ Fat 4.2 g │| Carbohydrates 19.7 g │| Protein 6.7 g │| Fibre 7.2 g │ Vitamin A 0 mcg |│ Iron 2.2 mg │| Zinc 1.01 mg Nutrition data per 100g of recipe: 121 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15053 ",,
59,Githeri (Sautéed Fresh Maize & Beans) ,"4 green maize cobs with kernels (1.5 kg) 4 ¼ cups (740 g) kidney beans, red, dry 21 ¾ cups (4728 g) water 1 onion, red skinned, raw, unpeeled (283 g) 1 1/8 cups (173 g) cooking fat 4 ½ tsp. (22 g) salt, iodized • ","minutes | Serves 4 • Remove husks from the maize. • Remove the maize kernels into a bowl. In the meantime, measure the required amount of beans and set aside to soak in 14 cups of water for 2 hours 15 minutes. • Drain and discard the water. • Add the rest of the water into a cooking pot, add the soaked beans and fresh maize. • Place the cooking pot over fire and leave it to boil until it is cooked, and all the water dries up (about 3 hours). • Set aside. Stewing: • Cut onion and put into a pot with cooking oil. • Cook the onions until golden brown. • Add the boiled maize and bean mixture. • Add salt and keep mixing until ready in about 10 minutes. • Remove and serve. Energy 773 kJ/ 185 kcal |│ Fat 7.2 g │| Carbohydrates 17.8 g │| Protein 6.9 g |│ Fibre 10.5 g │ Vitamin A 2 mcg |│ Iron 2.2 mg |│ Zinc 1.32 mg Nutrition data per 100g of recipe: 123 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15055 ",,
60,Muthokoi (Dehulled Maize and Beans) ,"2 ½ cups (440 g) maize, white, de-germed 2 2/3 cups (474 g) beans, kidney, dry, raw 21 1/3 cups (4646 g) water (to boil muthokoi) 1 onion red skinned, raw, unpeeled (182 g) 1 ¼ cups (185 g) cooking fat, shortening, commercial, vegetable fat 4 ½ tsp. (22 g) salt, iodized ","utes| Serves 4 • Put the maize and beans into a pot and boil in all the water for 2 hours 30 minutes or until cooked. • Drain and keep the remaining water. • Peel, wash and chop the onion into a separate bowl. Stewing: • Heat oil in a cooking pot for 1 minute. • Add the chopped onions and cook until soft. • Add muthokoi and salt; stir to mix. • Add the water drained from the boiled muthokoi. • Cover to cook for 3-5 minutes. • Turn off the heat. • Serve. Energy 677 kJ/ 161 kcal │| Fat 5.9 g │| Carbohydrates 19.8 g |│ Protein 5 g │| Fibre 4.6 g │ Vitamin A 0 mcg |│ Iron 1.3 mg |│ Zinc 0.59 mg Nutrition data per 100g of recipe: 125 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15086 ",,
61,Nchenga/ Nzenga (Crushed Maize) ,"1 1/3 cups (231 g) crushed maize, white, dry 1 onion, red skinned, raw, unpeeled (115 g) 1 carrot, orange, raw (169 g) 2 ½ tbsp. (28 g) cooking fat 2 ½ tsp. (12 g) salt, iodized 4 2/3 cups (1004 g) water ","• Wash the crushed maize and boil in all the water until soft. • Peel the carrot and grate. Wash, peel and chop the onion. • Melt the cooking fat in a pot. Add onion and cook until golden brown. • Add the grated carrot, salt and stir for 2-3 minutes. • Add the boiled crushed maize, stir and cover to cook for 2-5 minutes. • Turn off the heat. • Serve hot. Energy 542 kJ/ 129 kcal |│ Fat 3.9 g |│ Carbohydrates 20.3 g |│ Protein 2.2 g │| Fibre 1.8 g │ Vitamin A 87 mcg |│ Iron 0.3 mg │| Zinc 0.16 mg Nutrition data per 100g of recipe: 127 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15093 ",,
62,129 ,,,,
63,Mchuzi wa Maharagwe (Bean Stew) ,"2 2/3 cups (462 g) beans, kidney, dry 10 3/4 cups (2333 g) water 1 tomato, red, raw (140 g) 1 onion, red, raw (92 g) ¼ cup (40 g) cooking oil 2 ½ tsp. (13 g) salt, iodized • 9 stalks (56 g) coriander ","Serves 4 • Boil all the beans in 9 cups of water for 2 hours 30 minutes. • Prepare and cut the vegetables (coriander leaves, toma- toes and onions) into small pieces in separate bowls. In a pot, add ¼ cup of oil and turn on the heat. • Add the onions and cook for 7 minutes in a covered pan on low heat. • After 10 minutes, add the tomatoes and cook while stirring to mix. • Add the coriander leaves and mix then add the beans. • Add 1 3/4 cups of water followed by 1 tbsp. salt and cover the pot for 5 minutes. Stir to mix. • Cover the vessel and cook for 4 minutes. • Serve hot Energy 263 kJ/ 63 kcal │| Fat 1.4 g |│ Carbohydrates 7.2 g │| Protein 3.5 g │| Fibre 3.7 g │ Vitamin A 4 mcg |│ Iron 1.0 mg |│ Zinc 0.44 mg Nutrition data per 100g of recipe: 131 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15045 ",,
